Date,Price,Open,High,Low,Vol,Change %
"Feb 03, 2025",488.75,476.75,491.00,472.50,322.17K,1.40
"Feb 04, 2025",494.50,488.00,497.25,487.25,279.78K,1.18
"Feb 05, 2025",493.25,494.00,498.50,489.75,226.00K,-0.25
"Feb 06, 2025",495.25,493.25,496.50,486.00,299.13K,0.41
"Feb 07, 2025",487.50,495.50,496.50,485.50,287.30K,-1.56
"Feb 10, 2025",491.50,485.75,492.75,482.25,250.90K,0.82
"Feb 11, 2025",484.00,491.75,497.00,483.25,311.26K,-1.53
"Feb 12, 2025",490.25,483.75,492.25,481.50,271.39K,1.29
"Feb 13, 2025",493.50,489.75,494.25,485.25,269.32K,0.66
"Feb 14, 2025",496.25,493.00,499.75,492.50,195.60K,0.56
"Feb 18, 2025",515.75,508.00,517.75,505.50,173.58K,3.93
"Feb 19, 2025",512.25,515.25,518.75,511.00,185.42K,-0.68
"Feb 20, 2025",512.75,512.00,518.00,511.75,167.19K,0.10
"Feb 21, 2025",505.00,512.25,513.75,504.25,235.05K,-1.51
"Feb 24, 2025",497.00,504.50,505.25,495.25,280.98K,-1.58
"Feb 25, 2025",494.25,497.50,498.50,488.50,233.37K,-0.55
"Feb 26, 2025",493.50,495.00,500.00,492.25,221.42K,-0.15
"Feb 27, 2025",481.00,493.50,496.25,480.00,323.81K,-2.53
"Feb 28, 2025",469.50,481.25,483.75,469.00,287.88K,-2.39
"Mar 03, 2025",456.25,469.75,472.75,454.50,353.21K,-2.82
"Mar 04, 2025",446.88,456.25,458.90,445.88,177.57K,-2.05
