Date,Price,Open,High,Low,Vol,Change %
"Mar 10, 2024",436.75,421.75,440.00,419.75,141.51K,2.46
"Mar 17, 2024",439.25,437.00,445.75,434.00,660.60K,0.57
"Mar 24, 2024",442.00,439.00,448.00,426.00,799.19K,0.63
"Mar 31, 2024",434.25,441.75,442.00,424.50,970.41K,-1.75
"Apr 07, 2024",447.25,446.00,449.50,439.50,838.51K,2.99
"Apr 14, 2024",443.00,446.00,447.00,435.75,669.74K,-0.95
"Apr 21, 2024",440.00,432.25,444.50,431.00,831.38K,-0.68
"Apr 28, 2024",447.00,440.00,458.50,435.00,141.70K,1.59
"May 05, 2024",455.75,447.00,459.50,441.00,4.45K,1.96
"May 12, 2024",452.50,453.50,473.25,451.00,641.06K,-0.71
"May 19, 2024",464.75,452.75,467.25,452.25,865.10K,2.71
"May 26, 2024",446.25,467.00,471.00,445.50,732.48K,-3.98
"Jun 02, 2024",454.75,453.00,460.00,445.00,496.46K,1.90
"Jun 09, 2024",457.00,454.75,465.25,450.75,735.32K,0.49
"Jun 16, 2024",440.50,455.25,457.25,440.25,505.13K,-3.61
"Jun 23, 2024",407.50,441.00,442.00,399.50,1.15M,-7.49
"Jun 30, 2024",410.50,407.50,413.75,401.00,481.54K,0.74
"Jul 07, 2024",402.00,409.50,410.00,390.75,972.91K,-2.07
"Jul 14, 2024",404.75,416.00,416.00,403.25,689.05K,0.68
"Jul 21, 2024",410.00,405.25,423.75,405.25,830.20K,1.30
"Jul 28, 2024",403.25,407.50,413.00,395.00,816.64K,-1.65
"Aug 04, 2024",395.00,402.25,409.00,393.50,882.20K,-2.05
"Aug 11, 2024",392.50,394.75,403.75,390.00,1.12M,-0.63
"Aug 18, 2024",391.00,392.00,401.00,390.75,885.19K,-0.38
"Aug 25, 2024",378.00,367.25,378.75,360.50,572.91K,-3.32
"Sep 01, 2024",383.75,378.00,395.25,376.50,5.53K,1.52
"Sep 08, 2024",390.75,383.75,394.00,377.00,0.96K,1.82
"Sep 15, 2024",401.75,413.00,415.00,401.50,753.87K,2.82
"Sep 22, 2024",418.00,401.50,419.75,401.25,1.02M,4.04
"Sep 29, 2024",424.75,416.50,434.25,415.50,1.12M,1.61
"Oct 06, 2024",415.75,424.00,428.00,415.25,935.34K,-2.12
"Oct 13, 2024",404.75,415.00,415.25,399.00,1.23M,-2.65
"Oct 20, 2024",415.25,403.75,424.00,403.00,1.29M,2.59
"Oct 27, 2024",414.50,413.25,415.75,409.25,1.06M,-0.18
"Nov 03, 2024",444.25,428.25,447.75,427.00,726.73K,7.18
"Nov 10, 2024",435.25,444.00,445.50,429.00,851.74K,-2.03
"Nov 17, 2024",435.25,434.75,442.25,433.00,859.16K,0.00
"Nov 24, 2024",423.00,425.25,426.25,414.75,589.42K,-2.81
"Dec 01, 2024",430.75,423.00,431.50,420.25,13.65K,1.83
"Dec 08, 2024",430.00,431.25,443.25,426.25,4.19K,-0.17
"Dec 15, 2024",446.25,441.25,447.50,435.75,871.70K,3.78
"Dec 22, 2024",454.00,446.00,455.00,445.25,559.22K,1.74
"Dec 29, 2024",450.75,457.25,459.75,449.25,362.79K,-0.72
"Jan 05, 2025",470.50,451.50,472.50,451.50,1.26M,4.38
"Jan 12, 2025",484.25,469.75,485.00,469.25,1.39M,2.92
"Jan 19, 2025",486.50,484.25,494.50,480.50,1.02M,0.46
"Jan 26, 2025",482.00,484.50,497.50,477.75,1.26M,-0.92
"Feb 02, 2025",500.50,488.00,509.00,484.00,854.73K,3.84
"Feb 09, 2025",508.75,498.25,512.00,495.25,958.48K,1.65
"Feb 16, 2025",505.00,508.00,518.75,504.25,761.24K,-0.74
"Feb 23, 2025",469.50,504.50,505.25,469.00,1.06M,-7.03
"Mar 02, 2025",446.88,471.40,472.63,445.88,530.78K,-4.82
