Date,Price,Open,High,Low,Vol,Change %
"Feb 03, 2025",73.16,74.14,75.18,72.05,517.85K,0.87
"Feb 04, 2025",72.70,72.35,73.35,70.67,452.96K,-0.63
"Feb 05, 2025",71.03,72.76,72.97,70.96,289.90K,-2.30
"Feb 06, 2025",70.61,71.18,71.85,70.43,299.04K,-0.59
"Feb 07, 2025",71.00,70.56,71.41,70.47,273.77K,0.55
"Feb 10, 2025",72.01,70.77,72.20,70.61,160.44K,1.42
"Feb 11, 2025",73.08,72.11,73.33,72.00,195.49K,1.49
"Feb 12, 2025",71.24,72.98,73.00,71.03,221.77K,-2.52
"Feb 13, 2025",71.14,71.08,71.46,70.16,220.02K,-0.14
"Feb 14, 2025",70.71,71.38,71.88,70.50,213.47K,-0.60
"Feb 18, 2025",71.85,70.70,72.07,70.12,130.94K,1.61
"Feb 19, 2025",72.25,71.78,73.04,71.71,69.01K,0.56
"Feb 20, 2025",72.57,72.18,73.25,71.85,26.71K,0.44
"Feb 21, 2025",70.40,72.58,72.77,70.17,268.47K,-2.99
"Feb 24, 2025",70.70,69.80,70.94,69.80,205.47K,0.43
"Feb 25, 2025",68.93,70.92,71.26,68.68,267.31K,-2.50
"Feb 26, 2025",68.62,69.11,69.28,68.36,255.60K,-0.45
"Feb 27, 2025",70.35,68.82,70.54,68.61,265.93K,2.52
"Feb 28, 2025",69.76,70.17,70.29,69.14,250.07K,-0.84
"Mar 03, 2025",68.37,69.95,70.60,67.89,332.75K,-1.99
"Mar 04, 2025",67.29,68.30,68.33,66.78,179.23K,-1.58
